oof_rf,oof_xgb,oof_cat,oof_et
0.9266666666666666,0.9780096411705017,0.9916235568942456,0.9
0.09666666666666666,0.07183312624692917,0.04374575022597746,0.023333333333333334
0.09759215062317687,0.06134411692619324,0.11403653269361635,0.10666666666666667
0.5871963395225113,0.7442006468772888,0.6176692636289471,0.5833333333333334
0.9230866612613337,0.9705594182014465,0.9789346733615986,0.9533333333333334
0.11,0.011937655508518219,0.019565450896485908,0.05
0.11070554461393874,0.047933172434568405,0.0479432466370952,0.17333333333333334
0.6689944206129437,0.678979754447937,0.8055108871992531,0.6166666666666667
0.7533333333333333,0.8903638124465942,0.9491538514865314,0.87
0.03333333333333333,0.03720691055059433,0.025818116883387924,0.006666666666666667
0.11333333333333333,0.0944291278719902,0.13153640058401647,0.07333333333333333
0.6093187994860608,0.5723142623901367,0.7823915047387544,0.67
0.6873082551216066,0.7923859357833862,0.7967021702674131,0.67
0.21666666666666667,0.08524341881275177,0.11634694385883464,0.09333333333333334
0.07333333333333333,0.024088382720947266,0.0439626493970574,0.13666666666666666
0.6746748091864555,0.7274612784385681,0.6375485221616439,0.6533333333333333
0.8258351639234867,0.9403146505355835,0.9272369673273905,0.8533333333333334
0.056666666666666664,0.027359504252672195,0.028194298026666398,0.02666666666666667
0.09,0.04222992807626724,0.023146726045555975,0.09666666666666666
0.8546116578152692,0.9289947748184204,0.8966809207914168,0.79
0.8568685176123619,0.9519469738006592,0.9395955677316765,0.93
0.17666666666666667,0.06770923733711243,0.08274224467747197,0.15
0.05,0.026696685701608658,0.022061830152251494,0.08
0.27169506054966464,0.19582414627075195,0.20471197113802295,0.23
0.93,0.9603844881057739,0.9764504944193209,0.9166666666666666
0.02,0.011867079883813858,0.016149553888239094,0.03
0.08333333333333333,0.09395556896924973,0.039555948856014725,0.04
0.8328228612660014,0.9363126158714294,0.8520374011121562,0.8166666666666667
0.6376280184048702,0.7387586832046509,0.6959081311269854,0.6033333333333334
0.023333333333333334,0.013836001977324486,0.005731327161935991,0.02666666666666667
0.08,0.05534060671925545,0.030056976763148145,0.023333333333333334
0.3512895571599028,0.2944110929965973,0.4699987464142869,0.31666666666666665
0.7329740498510158,0.8861475586891174,0.8898449381005511,0.8766666666666667
0.06666666666666667,0.023368896916508675,0.022986864979061487,0.056666666666666664
0.07333333333333333,0.05407815799117088,0.052459797986248814,0.10333333333333333
0.6893353176007356,0.886780858039856,0.7673604640340116,0.6733333333333333
0.8649212703151676,0.9178703427314758,0.9221211605207973,0.8333333333333334
0.05333333333333334,0.03401417285203934,0.11189702722323605,0.22333333333333333
0.4074768518518518,0.2864859700202942,0.35689109927206264,0.5
0.6920428240740741,0.8026706576347351,0.8134230080155228,0.8133333333333334
0.88,0.9601372480392456,0.9280176507110847,0.8766666666666667
0.19,0.17226602137088776,0.025735662620913986,0.29333333333333333
0.10333333333333333,0.031891118735075,0.03396720534641944,0.03666666666666667
0.28525930707983643,0.30358409881591797,0.3825241445793033,0.2866666666666667
0.6133333333333333,0.7949948906898499,0.7591849936206915,0.8533333333333334
0.056666666666666664,0.04087413102388382,0.014559521846110026,0.02
0.14666666666666667,0.02774050459265709,0.026876433457957417,0.10333333333333333
0.577691125986377,0.7082073092460632,0.7424746727437929,0.7
0.37333333333333335,0.23741836845874786,0.4301305961872807,0.4166666666666667
0.10666666666666667,0.030652882531285286,0.02915767341560854,0.06333333333333334
0.03666666666666667,0.05598802492022514,0.021322106706393736,0.03333333333333333
0.3031311504741456,0.17667430639266968,0.136848590456266,0.16
0.7653530092592592,0.8830697536468506,0.9017545108684174,0.84
0.07333333333333333,0.01491653360426426,0.010993206098034346,0.02666666666666667
0.03,0.02938249707221985,0.011918136438836291,0.02
0.49293942337445157,0.43049356341362,0.4851877417105478,0.31333333333333335
0.6645127710044031,0.8400076031684875,0.8778564234967305,0.43
0.014782067247820673,0.01808024011552334,0.02402518153276317,0.01868634259259259
0.006666666666666667,0.012428934685885906,0.009054792613345283,0.01
0.39470687675730926,0.2230929285287857,0.26921395730495606,0.3566666666666667
0.6353587962962963,0.7313099503517151,0.6170109533998447,0.5833333333333334
0.01,0.012244770303368568,0.0034006220974121446,0.006666666666666667
0.3194060701203558,0.3704373836517334,0.2468051177008942,0.22
0.14976422236642872,0.13885438442230225,0.14784399160307463,0.14333333333333334
0.7226231422505308,0.9277986288070679,0.8824923718698394,0.81
0.04,0.021708833053708076,0.028620442086916532,0.02
0.06666666666666667,0.03101135417819023,0.02522981398813504,0.01
0.3247590793796151,0.34002068638801575,0.40918443130984544,0.39666666666666667
0.4958798184466838,0.7494086027145386,0.8345414502191126,0.5166666666666667
0.09333333333333334,0.03845835477113724,0.03671590705841571,0.08
0.45666666666666667,0.3830197751522064,0.6017702279332822,0.5333333333333333
0.33666666666666667,0.25060945749282837,0.1410432535183072,0.23333333333333334
0.505590947226971,0.5405758023262024,0.4961753037195994,0.5933333333333334
0.08207175925925926,0.03292987495660782,0.01838601121138827,0.03333333333333333
0.027086006177239247,0.020363207906484604,0.014330146211685772,0.02666666666666667
0.22666666666666666,0.27324873208999634,0.4289266760429769,0.18666666666666668
0.7913256778651804,0.8831177353858948,0.8793185777796113,0.7133333333333334
0.06666666666666667,0.029072951525449753,0.012067289498634257,0.03333333333333333
0.05333333333333334,0.04201306775212288,0.03726062526637513,0.06
0.4392898089171975,0.7385661005973816,0.6283859218619254,0.44666666666666666
0.6239306662481914,0.6588651537895203,0.8265447239099036,0.6433333333333333
0.18780155642023344,0.05614082142710686,0.14929743722128333,0.20333333333333334
0.07333333333333333,0.027340415865182877,0.024490954450536572,0.06
0.5939921802167502,0.6719784736633301,0.7489388352077513,0.59
0.839199856476498,0.9771241545677185,0.992592860268317,0.95
0.03666666666666667,0.037215977907180786,0.019760845184811294,0.04666666666666667
0.14361164122137404,0.06531204283237457,0.061611613221668936,0.09333333333333334
0.5592147181854163,0.6350372433662415,0.6014485795309065,0.37666666666666665
